cataloger,bookid,count,title,author,combinedName,authorOfColor,nonPersonAuthor,yrpub,neighborhood,collection,age,type,category1,category2,publication,media,summary,deweywording,subjects,deweydec,languages,originalLang,lcclassification,isbn
H,170345475,1,"[Tom Watson: Agrarian Rebel] (By: C. Vann Woodward) [published: June, 1963]","Woodward, C. Vann",C. Vann Woodward,0,0,1963,Montlake,Montlake4,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,Oxford University Press Inc (1963),Paperback,"[Tom Watson: Agrarian Rebel] (By: C. Vann Woodward) [published: June, 1963] by C. Vann Woodward (1963)",,,,English,,,
H,170345268,1,On Fasting and Feasting,"Davidson, Alan",Alan Davidson,0,0,1988,Montlake,Montlake4,Adult,Nonfiction,Cookery,Null,"Macmillan Education Australia (1988), Edition: 1st, 224 pages",Hardcover,On Fasting and Feasting by Alan Davidson (1988),Food > Food And Drink > Home and family management > Technology,,641.3,English,English,TX353,[0356156370]
H,170345512,1,Clay Pot Cooking,"Petersen-Schepelern, Elsa",Elsa Petersen-Schepelern,0,0,1997,Montlake,Montlake4,Adult,Nonfiction,Cookery,Null,"R P & S (1997), 64 pages",Hardcover,Clay Pot Cooking by Elsa Petersen-Schepelern (1997),"Cooking > Cooking, Specialized Equipment > Food And Drink > Home and family management > Specialized Apparatus > Technology","Clay pot cookery|Cookery, International",641.589,English,English,TX825.5 .P48,[1900518422]
H,170345243,1,Small Crimes,"Zeltserman, Dave",Dave Zeltserman,0,0,2008,Montlake,Montlake4,Adult,Fiction,Mystery,Null,"Serpent's Tail (2008), Edition: Main, 263 pages",Paperback,Small Crimes by Dave Zeltserman (2008),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,PS3626 .E396,[1852429712]
H,170345273,1,Close to Home: A Novel of Suspense (Inspector Banks Novels),"Robinson, Peter",Peter Robinson,0,0,2004,Montlake,Montlake4,Adult,Fiction,Mystery,Null,"Avon (2004), Edition: Later Printing, 464 pages",Paperback,Close to Home: A Novel of Suspense (Inspector Banks Novels) by Peter Robinson (2004),1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,"Banks, Alan (Fictitious character) > Fiction|Detective and mystery stories|Male friendship > Fiction|Missing children > England > Fiction|Missing persons > Fiction|Missing persons > Investigation > England > Fiction|Mystery fiction|Police > England > Yorkshire > Fiction|Police > Yorkshire > Fiction|Summer > Fiction|Yorkshire (England) > Fiction",823.914,English,English,PR6068,[0061031097]
H,170345307,1,"Killer Pancake (Goldy Culinary Mysteries, Book 5)","Davidson, Diane Mott",Diane Mott Davidson,0,0,1996,Montlake,Montlake4,Adult,Fiction,Mystery,Null,"Crimeline (1996), 368 pages",Paperback,"Killer Pancake (Goldy Culinary Mysteries, Book 5) by Diane Mott Davidson (1996)",1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Bear, Goldy (Fictitious character) > Fiction|Caterers and catering > Fiction|Colorado > Fiction|Cookery > Fiction|Detective and mystery stories|Humorous Stories|Humorous stories|Women in the food industry > Fiction|humorous stories",813.54,English,English,PS3554 .A925,[0553572040]
H,170345310,1,The Whole Enchilada: A Novel of Suspense (Goldy Schulz),"Davidson, Diane Mott",Diane Mott Davidson,0,0,2014,Montlake,Montlake4,Adult,Fiction,Mystery,Null,"Avon (2014), Edition: Reissue, 448 pages",Paperback,The Whole Enchilada: A Novel of Suspense (Goldy Schulz) by Diane Mott Davidson (2014),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3554 .A925,[006134818X]
H,170345274,1,"Vermont Nature Guide: A field guide to birds, mammals, trees, insects, wildflowers, amphibians, reptiles, and where to find them","Amsel, Sheri",Sheri Amsel,0,0,2013,Montlake,Montlake4,Adult,Nonfiction,Nature/Gardening,Null,"Echo Point Books & Media (2013), 120 pages",Paperback,"Vermont Nature Guide: A field guide to birds, mammals, trees, insects, wildflowers, amphibians, reptiles, and where to find them by Sheri Amsel (2013)",General Science > Natural history > Natural sciences and mathematics,,508.743,English,English,QH105 .V7,[1626549435]
H,170345378,1,Sugar Street,"Maḥfūẓ, Najīb",Najīb Maḥfūẓ,1,0,1992,Montlake,Montlake4,Adult,Fiction,Novel,Cultural Studies,"New York : Doubleday, 1992.",Paper Book,Sugar Street by Najīb Maḥfūẓ (1992),"Arabic (Egypt, Lebanon, Palestine, Saudi Arabia, Sudan) > Fiction > Literature > Middle Eastern > Other Languages",Cairo (Egypt) > Fiction|Historical Fiction|Historical fiction|historical fiction,892/.736,English,Arabic,PJ7846.A46S913 1992,[0385264690]
H,170345236,1,The Last Chinese Chef,"Mones, Nicole",Nicole Mones,0,0,2007,Montlake,Montlake4,Adult,Fiction,Novel,Null,"Houghton Mifflin Harcourt (2007), 278 pages",Hardcover,The Last Chinese Chef by Nicole Mones (2007),American And Canadian > Fiction > Literature,Americans > China > Fiction|Cookery > Fiction|Food writers > Fiction|Love Stories|Love stories,813,English,English,PS3563 .O519,[9780618619665]
H,170345263,1,The Sai Prophecy,"Hardner, Barbara",Barbara Hardner,0,0,1998,Montlake,Montlake4,Adult,Fiction,Novel,Null,"Illumination Arts (1998), Edition: 1st, 260 pages",Hardcover,The Sai Prophecy by Barbara Hardner (1998),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3568 .O39,[0935699120]
H,170345280,1,In the City of Fear: A Novel (Norton Paperback Fiction),"Just, Ward",Ward Just,0,0,1990,Montlake,Montlake4,Adult,Fiction,Novel,Null,"W. W. Norton & Company (1990), 300 pages",Paperback,In the City of Fear: A Novel (Norton Paperback Fiction) by Ward Just (1990),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Political fiction|Washington (D.C.) > Fiction,813.54,English,English,PS3560 .U75 I5,[0393307220]
H,170345302,1,Wildlife,"Ford, Richard",Richard Ford,0,0,1990,Montlake,Montlake4,Adult,Fiction,Novel,Null,"Collins Harvill Pr (1990), Edition: First Edition, 162 pages",Paperback,Wildlife by Richard Ford (1990),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,American fiction > 20th century|Domestic Fiction|Domestic fiction|Great Falls (Mont.) > Fiction,813.54,English,English,PS3556 .O713,[0002710978]
H,170345521,1,How to Be Safe: A Novel,"McAllister, Tom",Tom McAllister,0,0,2018,Montlake,Montlake4,Adult,Nonfiction,Novel,Null,"Liveright (2018), 240 pages",Hardcover,How to Be Safe: A Novel by Tom McAllister (2018),21st Century > American And Canadian > Fiction > Literature,,813.6,English,English,,[1631494139]
H,170345247,1,What to Expect When You're Expecting,"Murkoff, Heidi",Heidi Murkoff,0,0,2016,Montlake,Montlake4,Adult,Nonfiction,Self Help/Health,Null,"Workman Publishing Company (2016), Edition: Fifth Edition, Revised, 656 pages",Paperback,What to Expect When You're Expecting by Heidi Murkoff (2016),Gynecology and Pediatrics > Medicine > Pregnancy > Technology,Childbirth|Cookery|Postnatal care|Pregnancy|Pregnancy > Nutritional aspects|Prenatal Care|Prenatal care,618.24,English,English,RG525 .M87,[0761187480]
H,170345396,1,"Men are from Mars, women are from Venus : a practical guide for improving communication and getting what you want in your relationships","Gray, John",John Gray,0,0,1992,Montlake,Montlake4,Adult,Nonfiction,Self Help/Health,Null,"New York, NY : HarperCollins, c1992.",Paper Book,"Men are from Mars, women are from Venus : a practical guide for improving communication and getting what you want in your relationships by John Gray (1992)","Family life > Home and family management > Management of personal and family life > Sewing, clothing, management of personal and famly life > Technology",Communication|Communication > Popular Works|Communication > Popular works|Communication > popular works|Communication in marriage|Interpersonal Relations|Interpersonal Relations > popular works|Interpersonal relations|Interpersonal relations > Popular works|Marriage|Marriage > popular works|Social Behavior|Social behavior|communication|interpersonal relations|marriage|social behavior,646.78,English,English,HQ734 .G77 1992,[006016848X]
H,170345363,1,Shoeless Joe,"Kinsella, W. P.",W. P. Kinsella,0,0,1986,Montlake,Montlake4,Adult,Fiction,Sports,Null,Ballantine Books (1986),Paperback,Shoeless Joe by W. P. Kinsella (1986),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Baseball players > Fiction|Baseball stories|Fantastic fiction|Farmers > Fiction|Iowa > Fiction|Jackson, Joe, 1888-1951 > Fiction|fantastic fiction",813.54,English,English,PR9199.3 .K443,[0345342267]
H,170345284,1,The Prodigal Spy: A Novel,"Kanon, Joseph",Joseph Kanon,0,0,1999,Montlake,Montlake4,Adult,Fiction,Thriller/Suspense,Null,"Island Books (1999), 544 pages",Paperback,The Prodigal Spy: A Novel by Joseph Kanon (1999),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Americans > Czech Republic > Fiction|Conspiracies > Fiction|Czech Republic > Fiction|Domestic Fiction|Domestic fiction|Fathers and sons > Fiction|Spy stories,813.54,English,English,PS3561 .A476,[0440225345]
A,170877363,1,At the Gates of the Animal Kingdom (Contemporary American Fiction),"Hempel, Amy",Amy Hempel,0,0,1991,Montlake,Montlake5,Adult,Fiction,Anthology/Essays/Short stories,Null,"Penguin Books (1991), Edition: First Edition, 160 pages",Paperback,At the Gates of the Animal Kingdom (Contemporary American Fiction) by Amy Hempel (1991),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Women > Social life and customs > Fiction,813.54,English,English,PS3558 .E47916,[0140149023]
A,170877396,1,Philosophies of Art and Beauty: Selected Readings in Aesthetics from Plato to Heidegger,"Hofstadter, Albert",Albert Hofstadter,0,0,1976,Montlake,Montlake5,Adult,Nonfiction,Art,Null,"University of Chicago Press (1976), Edition: 2nd, 728 pages",Paperback,Philosophies of Art and Beauty: Selected Readings in Aesthetics from Plato to Heidegger by Albert Hofstadter (1976),Beauty > Metaphysics > Ontology > Philosophy and Psychology > Properties of being,Aesthetics|aesthetics,111.85,English,English,BH21 .H6,[0226348121]
A,170877369,1,"Siesta Lane: One Cabin, No Running Water, and a Year Living Green","Minato, Amy",Amy Minato,0,0,2009,Montlake,Montlake5,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Skyhorse (2009), 240 pages",Hardcover,"Siesta Lane: One Cabin, No Running Water, and a Year Living Green by Amy Minato (2009)","By Type of Community > Communes & Utopian Communities > Communes and Intentional Communities > Communities > Social Sciences > Social Sciences, Sociology, Anthropology",,307.774092,English,English,HX655 .O7,[1602393281]
A,170877404,1,One Click: Jeff Bezos and the Rise of Amazon.com,"Brandt, Richard L.",Richard L. Brandt,0,0,2012,Montlake,Montlake5,Adult,Nonfiction,Business/Technology,Null,"Portfolio (2012), Edition: Reprint, 240 pages",Paperback,One Click: Jeff Bezos and the Rise of Amazon.com by Richard L. Brandt (2012),"Books > By Product > Commerce > Commerce, Communications, Transportation > Social Sciences",,381.4500203,English,English,Z473 .B47,[1591845858]
A,170877463,1,A la table de Renoir,"Saulnier, Jacqueline",Jacqueline Saulnier,0,0,2002,Montlake,Montlake5,Adult,Nonfiction,Cookery,Null,Le Chêne (2002),Paperback,A la table de Renoir by Jacqueline Saulnier (2002),,,,French,French,,[2842774108]
A,170877415,1,Latin America: A Concise Interpretive History,"Burns, E. Bradford",E. Bradford Burns,0,0,1986,Montlake,Montlake5,Adult,Nonfiction,History,Null,"Prentice Hall (1986), Edition: 4th, 384 pages",Paperback,Latin America: A Concise Interpretive History by E. Bradford Burns (1986),History & Geography > History of South America > South America,Latin America > Economic conditions|Latin America > History|Latin America > Social conditions,980,English,English,F1410 .B8,[0135243564]
A,170877427,1,"One Summer: America, 1927","Bryson, Bill",Bill Bryson,0,0,2013,Montlake,Montlake5,Adult,Nonfiction,History,Null,"Doubleday (2013), Edition: First Edition, 528 pages",Hardcover,"One Summer: America, 1927 by Bill Bryson (2013)","1901 forward, by presidential administration > History & Geography > North America > Roosevelt Through Truman Administrations > United States",,973.91,English,English,E791 .B79,[0767919408]
A,170877406,1,A Way in the World: A Novel,"Naipaul, V. S.",V. S. Naipaul,1,0,1995,Montlake,Montlake5,Adult,Fiction,Novel,History,"Vintage (1995), Edition: 3rd printing, 400 pages",Paperback,A Way in the World: A Novel by V. S. Naipaul (1995),1945-1999 > 20th Century > English > Fiction > Literature > Modern Period,Biographical fiction|Historical Fiction|Historical fiction|Imperialism > Fiction|Imperialism > History > Fiction|biographical fiction|historical fiction,823.914,English,English,PR9272.9 .N32,[0679761667]
A,170877355,1,The Tenth Circle,"Picoult, Jodi",Jodi Picoult,0,0,2006,Montlake,Montlake5,Adult,Fiction,Novel,Null,"Atria Books (2006), 400 pages",Hardcover,The Tenth Circle by Jodi Picoult (2006),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Audiobooks|Comic books, strips, etc. > Authorship > Fiction|Date rape > Fiction|Domestic Fiction|Domestic fiction|Fathers and daughters > Fiction|Psychological fiction|Rape victims > Fiction",813.54,English,English,PS3566 .I372,[9780743496704]
A,170877383,1,We Were the Mulvaneys (Oprah's Book Club),"Oates, Joyce Carol",Joyce Carol Oates,0,0,1997,Montlake,Montlake5,Adult,Fiction,Novel,Null,"Plume (2001), 454 pages",Paperback,We Were the Mulvaneys (Oprah's Book Club) by Joyce Carol Oates (1997),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,Domestic Fiction|Domestic fiction|Family > Fiction|Farm life > Fiction|Farm life > New York (State) > Fiction|Farm life > fiction|New York (N.Y.) > Fiction|New York (State) > Fiction|Rape victims > Family relationships > Fiction|Rape victims > Fiction|Secrecy > Fiction|Secrecy > fiction|Teenage girls > Fiction|Teenage girls > New York (State) > Fiction,813.54,English,English,PS3565 .A8,[0452282829]
A,170877388,1,The Tenderness of Wolves: A Novel,"Penney, Stef",Stef Penney,0,0,2008,Montlake,Montlake5,Adult,Fiction,Novel,Null,"Simon & Schuster (2008), Edition: Later Printing, 371 pages",Paperback,The Tenderness of Wolves: A Novel by Stef Penney (2008),21st Century > English > Fiction > Literature > Modern Period,Canada > History > 1841-1867 > Fiction|Canada > Social life and customs > 19th century > Fiction|Frontier and pioneer life > Canada > Fiction|Historical Fiction|Historical fiction|Large type books|Missing persons > Canada > Fiction|Missing persons > Fiction|Mystery fiction|Suspense fiction|Trappers > Crimes against > Fiction|historical fiction,823.92,English,English,PR6116 .E58,[1416571302]
A,170877482,1,Webster's Basic Dictionary,Minerva Books,Books Minerva,0,1,2010,Montlake,Montlake5,Adult,Nonfiction,Reference,Null,Minerva Books (2010),Paperback,Webster's Basic Dictionary by Minerva Books (2010),,,,,,,[9780805656220]
A,170877325,1,Who's Holding Your Ladder,"Chand, Samuel R.",Samuel R. Chand,1,0,2003,Montlake,Montlake5,Adult,Nonfiction,Self Help/Health,Null,"Mall Publishing (2003), 144 pages",Hardcover,Who's Holding Your Ladder by Samuel R. Chand (2003),,,,English,English,,[097410227X]
A,170877401,1,The Book of Mastery: The Mastery Trilogy: Book I (Paul Selig Series),"Selig, Paul",Paul Selig,0,0,2016,Montlake,Montlake5,Adult,Nonfiction,Self Help/Health,Null,"TarcherPerigee (2016), 384 pages",Paperback,The Book of Mastery: The Mastery Trilogy: Book I (Paul Selig Series) by Paul Selig (2016),"Messages from Noncorporeal Beings > Parapsychology And Occultism > Philosophy and Psychology > Specific Topics > Spiritism - Table-tipping, etc.",,133.93,English,English,,[9780399175701]
A,170877333,1,Night Moves: An Alex Delaware Novel,"Kellerman, Jonathan",Jonathan Kellerman,0,0,2018,Montlake,Montlake5,Adult,Fiction,Thriller/Suspense,Null,"Ballantine Books (2018), Edition: Reissue, 448 pages",Paperback,Night Moves: An Alex Delaware Novel by Jonathan Kellerman (2018),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3561 .E3865,[0345541480]
A,none,1,AAA Tourbook Northern California,null,null,0,0,2018,Montlake,Montlake5,Adult,Nonfiction,Travel,Null,null,null,,,,,English,English,,
A,none,1,AAA Tourbook Washington,null,null,0,0,2018,Montlake,Montlake5,Adult,Nonfiction,Travel,Null,null,null,,,,,English,English,,
A,170878002,1,"Cooking with My Sisters: One Hundred Years of Family Recipes, from Bari to Big Stone Gap","Trigiani, Adriana",Adriana Trigiani,0,0,2004,Montlake,Montlake6,Adult,Nonfiction,Cookery,Null,"Random House (2004), Edition: First Edition, 192 pages",Hardcover,"Cooking with My Sisters: One Hundred Years of Family Recipes, from Bari to Big Stone Gap by Adriana Trigiani (2004)","Cooking > Cooking characteristic of specific geographic environments, ethnic cooking > Europe > Food And Drink > Home and family management > Italy > Technology","Cookery, Italian",641.5945,English,English,TX723,[1400062594]
A,170878006,1,Simply Classic: A New Collection of Recipes to Celebrate the Northwest,"Baxter, Kay",Kay Baxter,0,0,2002,Montlake,Montlake6,Adult,Nonfiction,Cookery,Null,"The Junior League of Seattle (2002), Edition: First Thus, 264 pages",Hardcover,Simply Classic: A New Collection of Recipes to Celebrate the Northwest by Kay Baxter (2002),Food And Drink > Home and family management > Technology,,641,English,English,,[0963608894]
A,170877986,1,Death In A White Tie,"Marsh, Ngaio",Ngaio Marsh,0,0,1997,Montlake,Montlake6,Adult,Fiction,Mystery,Null,"St. Martin's Paperbacks (1997), 352 pages",Paperback,Death In A White Tie by Ngaio Marsh (1997),American And Canadian > Fiction > Literature,"Alleyn, Roderick (Fictitious character) > Fiction|Detective and mystery stories|Police > England > Fiction|Police > England > fiction|Police > Great Britain > Fiction",813,English,English,PR9639.3 .M27,[0312963610]
A,170877992,1,One Fifth Avenue,"Bushnell, Candace.",Candace Bushnell,0,0,2009,Montlake,Montlake6,Adult,Fiction,Novel,Null,ABACUS (2009),Paperback,One Fifth Avenue by Candace. Bushnell (2009),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Apartment houses, Cooperative > Fiction|Chick lit|Manhattan (New York, N.Y.) > Fiction|Young women > Fiction|chick lit",813.54,English,English,PS3552 .U8229,[0349119546]
A,170878005,1,Call It Sleep: A Novel,"Roth, Henry",Henry Roth,0,0,1992,Montlake,Montlake6,Adult,Fiction,Novel,Null,"Farrar, Straus and Giroux (1992), Edition: First Thus, 462 pages",Paperback,Call It Sleep: A Novel by Henry Roth (1992),1900-1944 > 20th Century > American And Canadian > Fiction > Literature,"Bildungsromane|Boys > Fiction|Domestic Fiction|Domestic fiction|Immigrants > Fiction|Jewish families > Fiction|Jewish fiction|Jews > New York > Fiction|Jews > New York (State) > New York > Fiction|Large Type Books|Large type books|Lower East Side (New York, N.Y.) > Fiction",813.52,English,English,PS3535 .O787,[0374522928]
A,170878060,1,Jubal Sackett,"L'Amour, Louis",Louis L'Amour,0,0,1986,Montlake,Montlake6,Adult,Fiction,Novel,Null,"Bantam (1986), 375 pages",Paperback,Jubal Sackett by Louis L'Amour (1986),1900-1944 > 20th Century > American And Canadian > Fiction > Literature,"Explorers > Fiction|Historical Fiction|Historical fiction|Indian women > Fiction|Kickapoo Indians > Fiction|Large Type Books|Large type books|Love stories|Natchez Indians > Fiction|Pioneers > Fiction|Sackett family (Fictitious characters) > Fiction|United States > History > Colonial period, ca. 1600-1775 > Fiction|historical fiction",813.52,English,English,PS3523 .A446,[0553256734]
A,170878048,1,Small Dreams of a Scorpion,"Milligan, Spike",Spike Milligan,0,0,1974,Montlake,Montlake6,Adult,Fiction,Poetry,Null,"Penguin Books (1974), Edition: Reprint, 87 pages",Paperback,Small Dreams of a Scorpion by Spike Milligan (1974),1900- > English > Literature > Poetry,English poetry,821.9,English,English,PR6063 .I3777,[0140035648]
A,170877976,1,Rolling Hot: Hammers Slammers #4,"Drake, David",David Drake,0,0,1989,Montlake,Montlake6,Adult,Fiction,SciFi/Fantasy,Null,"Baen (1989), Edition: First Edition, 280 pages",Paperback,Rolling Hot: Hammers Slammers #4 by David Drake (1989),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,,[0671698370]
A,170877982,1,"Seven Up (Stephanie Plum, No. 7) (Stephanie Plum Novels)","Evanovich, Janet",Janet Evanovich,0,0,2002,Montlake,Montlake6,Adult,Fiction,Thriller/Suspense,Null,"St. Martin's Publishers (2002), Edition: 1st, 368 pages",Paperback,"Seven Up (Stephanie Plum, No. 7) (Stephanie Plum Novels) by Janet Evanovich (2002)",1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3555 .V2126,[9780312980146]
H,168002636,1,Hemingway: The 1930s,"Reynolds, Michael S.",Michael S. Reynolds,0,0,1997,Northgate,Northgate1,Adult,Fiction,Anthology/Essays/Short stories,Null,"W W Norton & Co Inc (1997), Edition: 1st, 360 pages",Hardcover,Hemingway: The 1930s by Michael S. Reynolds (1997),1900-1944 > 20th Century > American And Canadian > Fiction > Literature,,813.52,English,English,PS3515 .E37,[0393040933]
H,168006714,1,Evolved Enterprise by Yanik Silver (2015-05-04),"Silver, Yanik",Yanik Silver,0,0,2015,Northgate,Northgate1,Adult,Nonfiction,Business/Technology,Null,"Yanik Silver (2015), 224 pages",Paperback,Evolved Enterprise by Yanik Silver (2015-05-04) by Yanik Silver (2015),,,,,,,[1619613484]
H,168006705,1,Go pro: 7 pasos para convertirse en un profesional del mercadeo en red,"Worre, Eric",Eric Worre,0,0,2013,Northgate,Northgate1,Adult,Nonfiction,Business/Technology,Null,"Network Marketing Pro Inc (2013), Edition: 1st, 148 pages",Paperback,Go pro: 7 pasos para convertirse en un profesional del mercadeo en red by Eric Worre (2013),Business > Management > Of Marketing > Technology,,658.872,Spanish,English,,[0988667940]
H,168002578,1,"Ibsen: 4 Major Plays, Vol. 2: Ghosts/An Enemy of the People/The Lady from the Sea/John Gabriel Borkman (Signet Classics)","Ibsen, Henrik",Henrik Ibsen,0,0,2001,Northgate,Northgate1,Adult,Fiction,Drama,Null,"Signet (2001), Edition: Reissue, 448 pages",Paperback,"Ibsen: 4 Major Plays, Vol. 2: Ghosts/An Enemy of the People/The Lady from the Sea/John Gabriel Borkman (Signet Classics) by Henrik Ibsen (2001)",1800-1899 > Danish and Norwegian literature  > Drama > German > Literature > Literature in other Germanic languages  > Norwegian literature,,839.8226,English,English,PT8854 .D38,[0451528034]
H,168002647,1,Music together : Fiddle song collection,"Guilmartin, Kenneth K.",Kenneth K. Guilmartin,0,0,2009,Northgate,Northgate1,Adult,Nonfiction,Music,Null,"Music Together (2009), 52 pages",Paper Book,Music together : Fiddle song collection by Kenneth K. Guilmartin (2009),,,,English,,,
H,168002654,1,Music Together - Flute - Flute Song Collection Developed by the Center for Music and Young Children,Various,Varios,0,0,?,Northgate,Northgate1,Adult,Nonfiction,Music,Null,0,CD sound recording,Music Together - Flute - Flute Song Collection Developed by the Center for Music and Young Children by Various (?),,,,,,,
H,168002573,1,A Moveable Feast,"Hemingway, Ernest",Ernest Hemingway,0,0,1977,Northgate,Northgate1,Adult,Fiction,Novel,History,"Grafton (1977), Edition: New Ed, 144 pages",Paperback,A Moveable Feast by Ernest Hemingway (1977),"20th Century > American And Canadian > Authors, American and American Miscellany  > Literature","Americans > France > Paris > History > 20th century|Americans > Paris > History|Authors > Biography|Authors, American > 20th century > Biography|Authors, American > Biography|Hemingway, Ernest, 1899-1961|Hemingway, Ernest, 1899-1961 > Homes and haunts > France > Paris|Novelists, American > 20th century > Biography|Novelists, American > Biography|Paris (France) > Biography|Paris (France) > Intellectual life > 20th century|Paris (France) > Social life and customs > 20th century",818.5203,English,English,PS3515 .E37,[0586044647]
H,168002588,1,The Monsters of Templeton,"Groff, Lauren",Lauren Groff,0,0,2008,Northgate,Northgate1,Adult,Fiction,Novel,Null,"Voice (2008), Edition: Reprint, 384 pages",Paperback,The Monsters of Templeton by Lauren Groff (2008),21st Century > American And Canadian > Fiction > Literature,Sea monsters > Fiction|Single women > Fiction|Women genealogists > Fiction,813.6,English,English,PS3607 .R6344,[140134092X]
H,168002606,1,"Marriage 911: How God Saved Our Marriage (and Can Save Yours, Too!)","Alexander, Greg",Greg Alexander,0,0,2011,Northgate,Northgate1,Adult,Nonfiction,Religion,Self Help/Health,"Servant Books (2011), 129 pages",Paperback,"Marriage 911: How God Saved Our Marriage (and Can Save Yours, Too!) by Greg Alexander (2011)",Christian Life > Christian Living for Adults > Christian Living for specific groups > Christian practice and observance > Religion ,,248.8440922,English,English,BX2250 .A5375,[0867169796]
H,168002635,1,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,"Nepo, Mark",Mark Nepo,0,0,2000,Northgate,Northgate1,Adult,Nonfiction,Religion,Self Help/Health,"Conari Press (2000), Edition: Original, 436 pages",Paperback,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have by Mark Nepo (2000),"Comparative Religion; Mythology (No Longer Used) > Meditations & Devotions > Other Religions > Religion  > Religious experience, life, practice",Devotional calendars|Spiritual life|spiritual life,291.432,English,English,BL624 .N45,[9781573241175]
H,168002756,1,Outrageous Openness: Letting the Divine Take the Lead,"Silver, Tosha",Tosha Silver,0,0,2016,Northgate,Northgate1,Adult,Nonfiction,Religion,Self Help/Health,"Atria Books (2016), Edition: Reprint, 240 pages",Paperback,Outrageous Openness: Letting the Divine Take the Lead by Tosha Silver (2016),"Religion > Religion  > Religious experience, life, practice",,204,English,English,BL624 .S5333136,[9781476793481]
H,168002584,1,Pirate (A Sam and Remi Fargo Adventure),"Cussler, Clive",Clive Cussler,0,0,2016,Northgate,Northgate1,Adult,Fiction,Thriller/Suspense,Null,"G.P. Putnam's Sons (2016), Edition: 1, 400 pages",Hardcover,Pirate (A Sam and Remi Fargo Adventure) by Clive Cussler (2016),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3553 .U75,[9780399183973]
H,168002609,1,The Kingdom (A Sam and Remi Fargo Adventure),"Cussler, Clive",Clive Cussler,0,0,2012,Northgate,Northgate1,Adult,Fiction,Thriller/Suspense,Null,"G.P. Putnam's Sons (2012), Edition: Reprint, 480 pages",Paperback,The Kingdom (A Sam and Remi Fargo Adventure) by Clive Cussler (2012),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3553 .U75,[0425248089]
H,168002621,1,The Escape Artist,"Meltzer, Brad",Brad Meltzer,0,0,2019,Northgate,Northgate1,Adult,Fiction,Thriller/Suspense,Null,"Grand Central Publishing (2019), 448 pages",Paperback,The Escape Artist by Brad Meltzer (2019),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,,[1455559547]
H,168006718,1,Bones Never Lie: A Novel (Temperance Brennan),"Reichs, Kathy",Kathy Reichs,0,0,2014,Northgate,Northgate1,Adult,Fiction,Thriller/Suspense,Null,"Bantam (2014), Edition: First Edition, 336 pages",Hardcover,Bones Never Lie: A Novel (Temperance Brennan) by Kathy Reichs (2014),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,,813.54,English,English,PS3568 .E476345,[0345544013]
H,168080754,1,Message from the Shadows: Selected Stories,"Tabucchi, Antonio",Antonio Tabucchi,0,0,2019,Northgate,Northgate2,Adult,Fiction,Anthology/Essays/Short stories,Null,"Archipelago (2019), 300 pages",Paperback,Message from the Shadows: Selected Stories by Antonio Tabucchi (2019),,,,English,English,,[1939810159]
H,168004956,1,A Bead of Amber on Her Tongue,"Pullen, Jennifer",Jennifer Pullen,0,0,2019,Northgate,Northgate2,Adult,Fiction,Anthology/Essays/Short stories,Null,"Omnidawn (2019), Edition: 1st, 56 pages",Paperback,A Bead of Amber on Her Tongue by Jennifer Pullen (2019),,,,English,English,,[163243069X]
H,168004986,1,A Three Dog Life: A Memoir,"Thomas, Abigail",Abigail Thomas,0,0,2006,Northgate,Northgate2,Adult,Nonfiction,Biography/Autobiography/Memoir,Null,"Harcourt, Inc. (2006), Edition: 1st, 192 pages",Hardcover,A Three Dog Life: A Memoir by Abigail Thomas (2006),1945-1999 > 20th Century > American And Canadian > Fiction > Literature,"Authors, American > 20th century > Biography|Authors, American > Biography|Thomas, Abigail",813.54,English,English,PS3570 .H53,[0151012113]
